Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Data_Quality_Flag,Split_Set
POS-0104,502,"1,2,4,5-Benzenetetracarboxylic acid",Non specificata,Zr,ZrOCl2·8H2O,DMF/H2O,Acido acetico,100,24.0,0.5,1.0,0.5,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0105,503,2-Sulfoterephthalic acid monosodium salt,Non specificata,Zr,ZrCl4,DMF/HCl,HCl,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0106,504,"2,5-Dihydroxyterephthalic acid",Non specificata,Zr,ZrOCl2·8H2O,DMF/H2O,Acido benzoico,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0107,505,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Ce,Ce(NH4)2(NO3)6,DMF,Acido formico,100,15.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0108,507,"2,5-Dimethylterephthalic acid",Non specificata,Zr,ZrCl4,DMF/HCl,HCl,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0109,508,"2,5-Dinitroterephthalic acid",Non specificata,Zr,ZrCl4,DMF/HCl,HCl,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0110,509,"2-Amino-[1,1'-biphenyl]-4,4'-dicarboxylic acid",Non specificata,Zr,ZrCl4,DMF/HCl,HCl,120,24.0,0.5,0.5,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0111,510,"3,3'-Dimethyl-[1,1'-biphenyl]-4,4'-dicarboxylic acid",Non specificata,Zr,ZrCl4,DMF/HCl,Acido benzoico,120,24.0,0.5,0.5,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0112,511,"2'-Amino-[1,1':4',1''-terphenyl]-4,4''-dicarboxylic acid",Non specificata,Zr,ZrCl4,DMF/HCl,Acido benzoico,120,24.0,0.3,0.3,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0113,512,"2,6-Naphthalenedicarboxylic acid",Non specificata,Zr,ZrCl4,DMF/Acetic acid,Acido acetico,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
