Sample#,SampleID,Metal,Linker,AA Conc,Temp,first_hetero_h,first_solid_h,first_hetero_or_solid_h,Primary Phase,Secondary Phase
1,MG2-75-01,Sc,BDC,0,80,0,0,0,no solid product,n/a
2,MG2-75-02,Sc,Phthalic,0,80,,,,no solid product,n/a
3,MG2-75-03,Sc,Isophthalic,0,80,,,,no solid product,n/a
4,MG2-75-04,Sc,BTC,0,80,0.019,0.019,0.019,no crystalline product,n/a
5,MG2-75-05,Sc,Trimellitic,0,80,0.026,0.026,0.026,no crystalline product,n/a
6,MG2-75-06,Sc,Pyromellitic,0,80,0.031,10.03,0.031,DEJJEK,n/a
7,MG2-75-07,Sc,Mellitic,0,80,0.039,0.039,0.039,no crystalline product,NCP
8,MG2-75-08,Sc,BDC,2,80,,,,no solid product,n/a
9,MG2-75-09,Sc,Phthalic,2,80,,,,no solid product,n/a
10,MG2-75-10,Sc,Isophthalic,2,80,,,,no solid product,n/a
11,MG2-75-11,Sc,BTC,2,80,0.064,0.064,0.064,NU-2502,n/a
12,MG2-75-12,Sc,Trimellitic,2,80,,,,no solid product,n/a
13,MG2-75-13,Sc,Pyromellitic,2,80,0.077,0.077,0.077,DEJJEK,n/a
14,MG2-75-14,Sc,Mellitic,2,80,0.083,0.083,0.083,no crystalline product,NCP
15,MG2-75-15,Sc,BDC,5,80,19.088,,19.088,no solid product,n/a
16,MG2-75-16,Sc,Phthalic,5,80,19.094,,19.094,no solid product,n/a
17,MG2-75-17,Sc,Isophthalic,5,80,19.1,,19.1,no solid product,n/a
18,MG2-75-18,Sc,BTC,5,80,0.109,0.109,0.109,NU-2502,n/a
19,MG2-75-19,Sc,Trimellitic,5,80,19.112,,19.112,no solid product,n/a
20,MG2-75-20,Sc,Pyromellitic,5,80,0.122,1.213,0.122,DEJJEK,n/a
21,MG2-75-21,Sc,Mellitic,5,80,0.128,0.676,0.128,no crystalline product,NCP
22,MG2-75-22,Sc,BDC,10,80,19.131,,19.131,no solid product,n/a
23,MG2-75-23,Sc,Phthalic,10,80,19.138,,19.138,no solid product,n/a
24,MG2-75-24,Sc,Isophthalic,10,80,19.144,,19.144,no solid product,n/a
25,MG2-75-25,Sc,BTC,10,80,1.247,4.153,1.247,NU-2502,n/a
26,MG2-75-26,Sc,Trimellitic,10,80,19.158,,19.158,no solid product,n/a
27,MG2-75-27,Sc,Pyromellitic,10,80,0.166,0.166,0.166,DEJJEK,n/a
28,MG2-75-28,Sc,Mellitic,10,80,0.173,0.173,0.173,no crystalline product,NCP
29,MG2-75-29,Y,BDC,0,80,,,,no solid product,n/a
30,MG2-75-30,Y,Phthalic,0,80,,,,no solid product,n/a
31,MG2-75-31,Y,Isophthalic,0,80,,,,no solid product,n/a
32,MG2-75-32,Y,BTC,0,80,0.744,0.744,0.744,BEVSUR,n/a
33,MG2-75-33,Y,Trimellitic,0,80,0.751,0.751,0.751,VOYWUB,n/a
34,MG2-75-34,Y,Pyromellitic,0,80,19.21,2.208,2.208,UZATAR,n/a
35,MG2-75-35,Y,Mellitic,0,80,0.217,0.217,0.217,unknown phase,n/a
36,MG2-75-36,Y,BDC,2,80,,,,no solid product,n/a
37,MG2-75-37,Y,Phthalic,2,80,19.229,,19.229,no solid product,n/a
38,MG2-75-38,Y,Isophthalic,2,80,,,,no solid product,n/a
39,MG2-75-39,Y,BTC,2,80,19.242,19.242,19.242,BEVSUR,n/a
40,MG2-75-40,Y,Trimellitic,2,80,0.796,1.341,0.796,VOYWUB,n/a
41,MG2-75-41,Y,Pyromellitic,2,80,,2.252,2.252,UZATAR,unknown phase
42,MG2-75-42,Y,Mellitic,2,80,0.261,0.261,0.261,unknown phase,n/a
43,MG2-75-43,Y,BDC,5,80,19.268,,19.268,no solid product,n/a
44,MG2-75-44,Y,Phthalic,5,80,19.274,,19.274,no solid product,n/a
45,MG2-75-45,Y,Isophthalic,5,80,19.281,,19.281,no solid product,n/a
46,MG2-75-46,Y,BTC,5,80,19.287,19.287,19.287,BEVSUR,n/a
47,MG2-75-47,Y,Trimellitic,5,80,4.294,6.291,4.294,VOYWUB,n/a
48,MG2-75-48,Y,Pyromellitic,5,80,,2.297,2.297,UZATAR,n/a
49,MG2-75-49,Y,Mellitic,5,80,0.306,0.306,0.306,unknown phase,n/a
50,MG2-75-50,Y,BDC,10,80,,,,no solid product,n/a
51,MG2-75-51,Y,Phthalic,10,80,19.319,,19.319,no solid product,n/a
52,MG2-75-52,Y,Isophthalic,10,80,19.326,,19.326,no solid product,n/a
53,MG2-75-53,Y,BTC,10,80,19.333,19.333,19.333,BEVSUR,NU-2503
54,MG2-75-54,Y,Trimellitic,10,80,19.339,19.339,19.339,VOYWUB,n/a
55,MG2-75-55,Y,Pyromellitic,10,80,19.346,19.346,19.346,UZATAR,unknown phase
56,MG2-75-56,Y,Mellitic,10,80,0.352,0.352,0.352,unknown phase,n/a
57,MG2-75-57,La,BDC,0,80,,,,no solid product,n/a
58,MG2-75-58,La,Phthalic,0,80,,,,no solid product,n/a
59,MG2-75-59,La,Isophthalic,0,80,,,,no solid product,n/a
60,MG2-75-60,La,BTC,0,80,0.378,0.378,0.378,KEBSOA,n/a
61,MG2-75-61,La,Trimellitic,0,80,0.384,0.384,0.384,UTONAT,n/a
62,MG2-75-62,La,Pyromellitic,0,80,0.391,0.391,0.391,RIVSOH,n/a
63,MG2-75-63,La,Mellitic,0,80,,0.397,0.397,HAPTOJ,n/a
64,MG2-75-64,La,BDC,2,80,,,,no solid product,n/a
65,MG2-75-65,La,Phthalic,2,80,,,,no solid product,n/a
66,MG2-75-66,La,Isophthalic,2,80,,,,no solid product,n/a
67,MG2-75-67,La,BTC,2,80,0.422,0.422,0.422,KEBSOA,n/a
68,MG2-75-68,La,Trimellitic,2,80,0.429,0.974,0.429,UTONAT,n/a
69,MG2-75-69,La,Pyromellitic,2,80,0.436,0.436,0.436,RIVSOH,n/a
70,MG2-75-70,La,Mellitic,2,80,,0.441,0.441,HAPTOJ,n/a
71,MG2-75-71,La,BDC,5,80,,19.448,19.448,no solid product,n/a
72,MG2-75-72,La,Phthalic,5,80,,,,no solid product,n/a
73,MG2-75-73,La,Isophthalic,5,80,19.46,,19.46,no solid product,n/a
74,MG2-75-74,La,BTC,5,80,0.467,0.467,0.467,KEBSOA,n/a
75,MG2-75-75,La,Trimellitic,5,80,1.018,1.018,1.018,UTONAT,n/a
76,MG2-75-76,La,Pyromellitic,5,80,0.481,0.481,0.481,RIVSOH,n/a
77,MG2-75-77,La,Mellitic,5,80,0.487,0.487,0.487,NACKOT,n/a
78,MG2-75-78,La,BDC,10,80,,,,no solid product,n/a
79,MG2-75-79,La,Phthalic,10,80,19.499,19.499,19.499,no solid product,n/a
80,MG2-75-80,La,Isophthalic,10,80,19.505,,19.505,no solid product,n/a
81,MG2-75-81,La,BTC,10,80,0.513,0.513,0.513,KEBSOA,n/a
82,MG2-75-82,La,Trimellitic,10,80,2.512,4.515,2.512,UTONAT,n/a
83,MG2-75-83,La,Pyromellitic,10,80,0.526,0.526,0.526,RIVSOH,n/a
84,MG2-75-84,La,Mellitic,10,80,19.53,1.076,1.076,HAPTOJ,n/a
85,MG2-76-01,Ce,BDC,0,80,,18.997,18.997,no solid product,n/a
86,MG2-76-02,Ce,Phthalic,0,80,,,,no solid product,n/a
87,MG2-76-03,Ce,Isophthalic,0,80,,,,no solid product,n/a
88,MG2-76-04,Ce,BTC,0,80,0.565,0.02,0.02,YIMRUL,n/a
89,MG2-76-05,Ce,Trimellitic,0,80,0.026,0.026,0.026,UTONAT,n/a
90,MG2-76-06,Ce,Pyromellitic,0,80,0.034,0.034,0.034,RIVSOH,n/a
91,MG2-76-07,Ce,Mellitic,0,80,19.035,0.039,0.039,HAPTOJ,n/a
92,MG2-76-08,Ce,BDC,2,80,,,,no solid product,n/a
93,MG2-76-09,Ce,Phthalic,2,80,,,,no solid product,n/a
94,MG2-76-10,Ce,Isophthalic,2,80,,0.059,0.059,no solid product,n/a
95,MG2-76-11,Ce,BTC,2,80,0.609,0.065,0.065,YIMRUL,n/a
96,MG2-76-12,Ce,Trimellitic,2,80,0.616,0.616,0.616,UTONAT,n/a
97,MG2-76-13,Ce,Pyromellitic,2,80,0.078,0.078,0.078,RIVSOH,n/a
98,MG2-76-14,Ce,Mellitic,2,80,0.084,0.084,0.084,HAPTOJ,n/a
99,MG2-76-15,Ce,BDC,5,80,,,,no solid product,n/a
100,MG2-76-16,Ce,Phthalic,5,80,,,,no solid product,n/a
101,MG2-76-17,Ce,Isophthalic,5,80,,,,no solid product,n/a
102,MG2-76-18,Ce,BTC,5,80,0.653,0.653,0.653,YIMRUL,n/a
103,MG2-76-19,Ce,Trimellitic,5,80,0.66,0.66,0.66,UTONAT,n/a
104,MG2-76-20,Ce,Pyromellitic,5,80,0.122,0.122,0.122,RIVSOH,n/a
105,MG2-76-21,Ce,Mellitic,5,80,0.13,0.13,0.13,HAPTOJ,n/a
106,MG2-76-22,Ce,BDC,10,80,19.13,,19.13,no solid product,n/a
107,MG2-76-23,Ce,Phthalic,10,80,19.136,,19.136,no solid product,n/a
108,MG2-76-24,Ce,Isophthalic,10,80,,,,no solid product,n/a
109,MG2-76-25,Ce,BTC,10,80,0.155,0.155,0.155,YIMRUL,n/a
110,MG2-76-26,Ce,Trimellitic,10,80,2.158,2.158,2.158,UTONAT,n/a
111,MG2-76-27,Ce,Pyromellitic,10,80,0.169,0.169,0.169,RIVSOH,n/a
112,MG2-76-28,Ce,Mellitic,10,80,0.174,0.174,0.174,HAPTOJ,n/a
113,MG2-76-29,Pr,BDC,0,80,6.178,,6.178,no solid product,n/a
114,MG2-76-30,Pr,Phthalic,0,80,,19.181,19.181,no solid product,n/a
115,MG2-76-31,Pr,Isophthalic,0,80,,,,no solid product,n/a
116,MG2-76-32,Pr,BTC,0,80,0.199,0.199,0.199,YIMRUL,n/a
117,MG2-76-33,Pr,Trimellitic,0,80,0.205,0.748,0.205,UTONAT,n/a
118,MG2-76-34,Pr,Pyromellitic,0,80,0.212,0.212,0.212,RIVSOH,n/a
119,MG2-76-35,Pr,Mellitic,0,80,1.31,0.218,0.218,HAPTOJ,n/a
120,MG2-76-36,Pr,BDC,2,80,,,,no solid product,n/a
121,MG2-76-37,Pr,Phthalic,2,80,19.224,,19.224,no solid product,n/a
122,MG2-76-38,Pr,Isophthalic,2,80,19.232,,19.232,no solid product,n/a
123,MG2-76-39,Pr,BTC,2,80,0.244,0.244,0.244,YIMRUL,n/a
124,MG2-76-40,Pr,Trimellitic,2,80,0.251,0.251,0.251,UTONAT,n/a
125,MG2-76-41,Pr,Pyromellitic,2,80,0.257,0.257,0.257,RIVSOH,n/a
126,MG2-76-42,Pr,Mellitic,2,80,2.259,0.264,0.264,HAPTOJ,n/a
127,MG2-76-43,Pr,BDC,5,80,19.264,,19.264,no solid product,n/a
128,MG2-76-44,Pr,Phthalic,5,80,19.271,,19.271,no solid product,n/a
129,MG2-76-45,Pr,Isophthalic,5,80,,,,no solid product,n/a
130,MG2-76-46,Pr,BTC,5,80,0.29,0.29,0.29,YIMRUL,n/a
131,MG2-76-47,Pr,Trimellitic,5,80,0.839,0.839,0.839,UTONAT,n/a
132,MG2-76-48,Pr,Pyromellitic,5,80,0.303,0.303,0.303,RIVSOH,n/a
133,MG2-76-49,Pr,Mellitic,5,80,0.309,0.309,0.309,HAPTOJ,n/a
134,MG2-76-50,Pr,BDC,10,80,19.31,,19.31,no solid product,n/a
135,MG2-76-51,Pr,Phthalic,10,80,19.316,,19.316,no solid product,n/a
136,MG2-76-52,Pr,Isophthalic,10,80,19.322,,19.322,no solid product,n/a
137,MG2-76-53,Pr,BTC,10,80,0.334,0.334,0.334,YIMRUL,n/a
138,MG2-76-54,Pr,Trimellitic,10,80,2.335,4.337,2.335,UTONAT,unknown phase
139,MG2-76-55,Pr,Pyromellitic,10,80,0.347,0.889,0.347,RIVSOH,n/a
140,MG2-76-56,Pr,Mellitic,10,80,0.353,0.353,0.353,HAPTOJ,n/a
141,MG2-76-57,Nd,BDC,0,80,,2.354,2.354,no solid product,n/a
142,MG2-76-58,Nd,Phthalic,0,80,,,,no solid product,n/a
143,MG2-76-59,Nd,Isophthalic,0,80,,,,no solid product,n/a
144,MG2-76-60,Nd,BTC,0,80,0.921,0.378,0.378,YIMRUL,n/a
145,MG2-76-61,Nd,Trimellitic,0,80,0.386,0.929,0.386,UTONAT,n/a
146,MG2-76-62,Nd,Pyromellitic,0,80,0.392,0.935,0.392,RIVSOH,n/a
147,MG2-76-63,Nd,Mellitic,0,80,0.941,0.941,0.941,HAPTOJ,unknown phase
148,MG2-76-64,Nd,BDC,2,80,,,,no solid product,n/a
149,MG2-76-65,Nd,Phthalic,2,80,,,,no solid product,n/a
150,MG2-76-66,Nd,Isophthalic,2,80,,,,no solid product,n/a
151,MG2-76-67,Nd,BTC,2,80,0.422,0.422,0.422,YIMRUL,n/a
152,MG2-76-68,Nd,Trimellitic,2,80,0.429,0.429,0.429,UTONAT,n/a
153,MG2-76-69,Nd,Pyromellitic,2,80,0.436,0.436,0.436,RIVSOH,n/a
154,MG2-76-70,Nd,Mellitic,2,80,,0.985,0.985,NACKOT01,n/a
155,MG2-76-71,Nd,BDC,5,80,,,,no solid product,n/a
156,MG2-76-72,Nd,Phthalic,5,80,,,,no solid product,n/a
157,MG2-76-73,Nd,Isophthalic,5,80,,,,no solid product,n/a
158,MG2-76-74,Nd,BTC,5,80,0.468,1.011,0.468,YIMRUL,n/a
159,MG2-76-75,Nd,Trimellitic,5,80,1.017,1.017,1.017,UTONAT,n/a
160,MG2-76-76,Nd,Pyromellitic,5,80,0.481,0.481,0.481,RIVSOH,n/a
161,MG2-76-77,Nd,Mellitic,5,80,,1.576,1.576,HAPTOJ,n/a
162,MG2-76-78,Nd,BDC,10,80,,,,no solid product,n/a
163,MG2-76-79,Nd,Phthalic,10,80,19.495,1.044,1.044,no solid product,n/a
164,MG2-76-80,Nd,Isophthalic,10,80,,,,no solid product,n/a
165,MG2-76-81,Nd,BTC,10,80,0.512,0.512,0.512,YIMRUL,n/a
166,MG2-76-82,Nd,Trimellitic,10,80,2.512,0.519,0.519,UTONAT,unknown phase
167,MG2-76-83,Nd,Pyromellitic,10,80,0.525,0.525,0.525,RIVSOH,n/a
168,MG2-76-84,Nd,Mellitic,10,80,19.529,1.075,1.075,HAPTOJ,n/a
169,MG2-77-01,Sm,BDC,0,80,3.998,1.998,1.998,no solid product,n/a
170,MG2-77-02,Sm,Phthalic,0,80,19.004,,19.004,no solid product,n/a
171,MG2-77-03,Sm,Isophthalic,0,80,,,,no solid product,n/a
172,MG2-77-04,Sm,BTC,0,80,0.019,0.019,0.019,RAVJUV,n/a
173,MG2-77-05,Sm,Trimellitic,0,80,0.026,0.026,0.026,ROWZEM,n/a
174,MG2-77-06,Sm,Pyromellitic,0,80,0.577,0.032,0.032,RIVSOH,n/a
175,MG2-77-07,Sm,Mellitic,0,80,19.036,0.039,0.039,NACKOT01,n/a
176,MG2-77-08,Sm,BDC,2,80,,,,no solid product,n/a
177,MG2-77-09,Sm,Phthalic,2,80,,,,no solid product,n/a
178,MG2-77-10,Sm,Isophthalic,2,80,,,,no solid product,n/a
179,MG2-77-11,Sm,BTC,2,80,0.063,0.063,0.063,RAVJUV,n/a
180,MG2-77-12,Sm,Trimellitic,2,80,0.616,0.616,0.616,UTONAT,VOYWUB
181,MG2-77-13,Sm,Pyromellitic,2,80,0.076,0.076,0.076,RIVSOH_011,unknown phase
182,MG2-77-14,Sm,Mellitic,2,80,19.08,0.083,0.083,NACKOT,n/a
183,MG2-77-15,Sm,BDC,5,80,19.088,,19.088,no solid product,n/a
184,MG2-77-16,Sm,Phthalic,5,80,19.094,,19.094,no solid product,n/a
185,MG2-77-17,Sm,Isophthalic,5,80,,,,no solid product,n/a
186,MG2-77-18,Sm,BTC,5,80,0.108,0.108,0.108,RAVJUV,n/a
187,MG2-77-19,Sm,Trimellitic,5,80,0.66,0.114,0.114,UTONAT,SEVWEV
188,MG2-77-20,Sm,Pyromellitic,5,80,0.666,0.666,0.666,RIVSOH_011,unknown phase
189,MG2-77-21,Sm,Mellitic,5,80,0.128,0.128,0.128,NACKOT,unknown phase
190,MG2-77-22,Sm,BDC,10,80,19.133,,19.133,no solid product,n/a
191,MG2-77-23,Sm,Phthalic,10,80,19.139,0.141,0.141,no solid product,n/a
192,MG2-77-24,Sm,Isophthalic,10,80,19.145,,19.145,no solid product,n/a
193,MG2-77-25,Sm,BTC,10,80,19.152,0.154,0.154,YIMRUL,n/a
194,MG2-77-26,Sm,Trimellitic,10,80,4.157,4.157,4.157,ROWZEM,UTONAT
195,MG2-77-27,Sm,Pyromellitic,10,80,1.257,1.257,1.257,RIVSOH_011,unknown phase
196,MG2-77-28,Sm,Mellitic,10,80,0.172,0.172,0.172,NACKOT01,n/a
197,MG2-77-29,Eu,BDC,0,80,,,,no solid product,n/a
198,MG2-77-30,Eu,Phthalic,0,80,,,,no solid product,n/a
199,MG2-77-31,Eu,Isophthalic,0,80,19.19,,19.19,no solid product,n/a
200,MG2-77-32,Eu,BTC,0,80,0.198,0.198,0.198,CAQFEI,n/a
201,MG2-77-33,Eu,Trimellitic,0,80,0.205,0.751,0.205,ROWZEM,n/a
202,MG2-77-34,Eu,Pyromellitic,0,80,0.211,0.211,0.211,RIVSOH_011,unknown phase
203,MG2-77-35,Eu,Mellitic,0,80,0.218,0.218,0.218,NACKOT01,unknown phase
204,MG2-77-36,Eu,BDC,2,80,,,,no solid product,n/a
205,MG2-77-37,Eu,Phthalic,2,80,,,,no solid product,n/a
